################ 159.65.134.117 ##########################
Start: 2021-06-25T12:05:10+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  9.|-- toro-b1-link.ip.twelve99.  0.0%     5   95.5  95.5  95.4  95.5   0.0
 10.|-- digitalocean-ic313813-tor  0.0%     5   95.6  95.6  95.6  95.6   0.0
 11.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- 68.183.193.231             0.0%     5   95.8  95.9  95.8  96.0   0.1
################ 149.28.110.46 ##########################
Start: 2021-06-25T12:08:07+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.3   0.0
  3.|-- lag-105.ear2.Stockholm2.L  0.0%     5    0.7   0.7   0.6   0.9   0.1
  4.|-- ae-2-52.ear1.Miami1.Level 40.0%     5  127.0 127.0 127.0 127.0   0.0
  5.|-- CHOOPA-LLC.ear1.Miami1.Le  0.0%     5  127.7 127.9 127.6 128.3   0.3
  6.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- 149.28.110.46.vultr.com    0.0%     5  127.2 127.1 127.1 127.2   0.0
################ 91.235.143.206 ##########################
Start: 2021-06-25T12:08:18+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.6   9.7   0.4  46.8  20.7
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.3   0.0
  3.|-- 10gigabitethernet1-2.core  0.0%     5    0.8   0.7   0.7   0.8   0.0
  4.|-- 100ge4-1.core1.tll1.he.ne  0.0%     5    6.4   8.4   6.3  16.5   4.5
  5.|-- 100ge5-1.core1.rix1.he.ne  0.0%     5   12.0  12.0  11.9  12.1   0.1
  6.|-- 100ge5-1.core1.vno1.he.ne  0.0%     5   23.7  19.9  16.9  25.0   4.1
  7.|-- 100ge11-2.core1.waw1.he.n  0.0%     5   23.6  23.8  23.6  24.2   0.3
  8.|-- ve952.core2.kbp1.he.net    0.0%     5   37.6  37.6  37.5  37.8   0.1
  9.|-- sollutium-sp-z-o-o.e0-27.  0.0%     5   44.9  45.0  44.9  45.1   0.1
 10.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 11.|-- dedicated.vsys.host        0.0%     5   36.4  36.6  36.4  37.0   0.3
################ 37.120.152.18 ##########################
Start: 2021-06-25T12:08:29+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5   11.5   2.7   0.5  11.5   4.9
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   1.7   0.3   7.3   3.1
  3.|-- 37.120.220.17              0.0%     5   11.5  10.8  10.5  11.5   0.5
  4.|-- xe-1-3-2-0.core1.fra2.de.  0.0%     5   29.4  29.4  29.4  29.5   0.0
  5.|-- 37.120.128.249             0.0%     5   55.9  55.9  55.7  56.0   0.1
  6.|-- 146.70.0.71                0.0%     5  182.0  94.0  55.7 182.0  52.7
  7.|-- vlan2901.as02.sof1.bg.m24  0.0%     5   55.7  55.7  55.7  55.8   0.0
  8.|-- 37.120.152.18              0.0%     5   55.5  55.5  55.4  55.5   0.0
################ 159.89.26.119 ##########################
Start: 2021-06-25T12:08:51+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.3   0.0
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    0.4   0.4   0.3   0.4   0.0
  4.|-- ae7-0.asd3nqp1.nl.ip.tdc.  0.0%     5   22.8  22.8  22.7  22.8   0.1
  5.|-- ae40.ams3-edge2.digitaloc  0.0%     5   21.7  21.6  21.5  21.7   0.1
  6.|-- 138.197.244.68             0.0%     5   35.1  27.0  24.6  35.1   4.6
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 159.89.26.119              0.0%     5   24.7  24.8  24.7  25.0   0.1
################ 176.119.28.57 ##########################
Start: 2021-06-25T12:09:02+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.6   0.1
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.5   0.3   1.0   0.3
  3.|-- 10gigabitethernet1-2.core  0.0%     5    0.7   0.7   0.7   0.8   0.0
  4.|-- 100ge4-1.core1.tll1.he.ne  0.0%     5   10.7  10.4   6.4  16.4   4.2
  5.|-- 100ge5-1.core1.rix1.he.ne  0.0%     5   12.0  12.2  12.0  12.8   0.3
  6.|-- 100ge5-1.core1.vno1.he.ne  0.0%     5   17.0  17.0  16.9  17.1   0.1
  7.|-- 100ge11-2.core1.waw1.he.n  0.0%     5   23.6  28.2  23.5  46.7  10.3
  8.|-- ve952.core2.kbp1.he.net    0.0%     5   37.5  37.7  37.4  38.9   0.7
  9.|-- sollutium-sp-z-o-o.e0-27.  0.0%     5   44.8  44.9  44.8  45.1   0.1
 10.|-- be-12021-cr01.champa.co.i  0.0%     5   69.8  61.1  54.9  69.8   5.9
 11.|-- dedicated.vsys.host        0.0%     5   41.3  41.3  41.1  41.3   0.1
################ 217.69.9.53 ##########################
Start: 2021-06-25T12:09:13+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.5   0.6   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.3   0.4   0.0
  3.|-- s-b3-link.ip.twelve99.net  0.0%     5    0.6   0.6   0.5   0.8   0.1
  4.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  5.|-- ffm-bb1-link.ip.twelve99.  0.0%     5   31.3  31.2  31.1  31.3   0.1
  6.|-- prs-bb1-link.ip.twelve99. 60.0%     5   30.4  30.5  30.4  30.5   0.1
  7.|-- prs-bb3-link.ip.twelve99.  0.0%     5   31.1  31.2  31.1  31.6   0.2
  8.|-- prs-b8-link.ip.twelve99.n  0.0%     5   30.1  30.2  30.1  30.4   0.1
  9.|-- choopa-svc076387-ic365364  0.0%     5   30.8  33.8  30.8  45.4   6.5
 10.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 11.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- 217.69.9.53.vultr.com      0.0%     5   30.3  30.3  30.3  30.4   0.0
################ 95.179.210.20 ##########################
Start: 2021-06-25T12:09:24+0000
